geracao,fitness_melhor_individuo
166,5490.031981
167,5490.031981
168,5490.031981
169,5490.031981
170,5490.031981
171,5490.031981
172,5490.031981
173,5490.031981
174,5490.031981
175,5490.031981
176,5490.031981
177,5490.031981
178,5490.031981
179,5471.827039
180,5471.827039
181,5471.827039
182,5471.827039
183,5471.827039
184,5471.827039
185,5469.371432
186,5469.371432
187,5469.371432
188,5469.371432
189,5469.371432
190,5469.371432
191,5469.371432
192,5469.371432
193,5469.371432
194,5469.371432
195,5469.371432
196,5469.371432
197,5469.371432
198,5469.371432
199,5469.371432
200,5469.371432
201,5469.371432
202,5469.371432
203,5469.371432
204,5469.371432
205,5469.371432
206,5469.371432
207,5469.371432
208,5469.371432
209,5469.371432
210,5469.371432
211,5469.371432
212,5469.371432
213,5469.371432
214,5469.371432
215,5469.371432
216,5469.371432
217,5469.371432
218,5469.371432
219,5469.371432
220,5469.371432
221,5469.371432
222,5469.371432
223,5469.371432
224,5469.371432
225,5469.371432
226,5469.371432
227,5469.371432
228,5469.371432
229,5469.371432
230,5469.371432
231,5469.371432
232,5469.371432
233,5469.371432
234,5469.371432
235,5469.371432
236,5469.371432
237,5469.371432
238,5469.371432
239,5469.371432
240,5469.371432
241,5469.371432
242,5469.371432
243,5469.371432
244,5469.371432
245,5469.371432
246,5469.371432
247,5469.371432
248,5469.371432
249,5469.371432
250,5469.371432
251,5469.371432
252,5469.371432
253,5469.371432
254,5469.371432
255,5469.371432
256,5469.371432
257,5469.371432
258,5469.371432
259,5469.371432
260,5469.371432
261,5469.371432
262,5469.371432
263,5469.371432
264,5469.371432
265,5469.371432
266,5469.371432
267,5469.371432
268,5469.371432
269,5469.371432
270,5469.371432
271,5469.371432
272,5469.371432
273,5469.371432
274,5469.371432
275,5469.371432
276,5469.371432
277,5469.371432
278,5469.371432
279,5469.371432
280,5469.371432
281,5469.371432
282,5469.371432
283,5469.371432
284,5469.371432
285,5469.371432
286,5469.371432
287,5469.371432
288,5469.371432
289,5469.371432
290,5469.371432
291,5469.371432
292,5469.371432
293,5469.371432
294,5469.371432
295,5469.371432
296,5469.371432
297,5469.371432
298,5469.371432
299,5465.776230
300,5465.776230
301,5419.158755
302,5419.158755
303,5419.158755
304,5419.158755
305,5419.158755
306,5419.158755
307,5419.158755
308,5419.158755
309,5419.158755
310,5419.158755
311,5419.158755
312,5419.158755
313,5419.158755
314,5419.158755
315,5419.158755
316,5419.158755
317,5419.158755
318,5419.158755
319,5419.158755
320,5419.158755
321,5419.158755
322,5419.158755
323,5419.158755
324,5419.158755
325,5419.158755
326,5419.158755
327,5419.158755
328,5419.158755
329,5419.158755
330,5419.158755
331,5419.158755
332,5419.158755
333,5419.158755
334,5419.158755
335,5419.158755
336,5419.158755
337,5419.158755
338,5419.158755
339,5419.158755
340,5419.158755
341,5419.158755
342,5419.158755
343,5419.158755
344,5419.158755
345,5419.158755
346,5415.267672
347,5415.267672
348,5415.267672
349,5415.267672
350,5415.267672
351,5415.267672
352,5415.267672
353,5415.267672
354,5415.267672
355,5415.267672
356,5415.267672
357,5415.267672
358,5415.267672
359,5415.267672
360,5415.267672
361,5415.267672
362,5415.267672
363,5415.267672
364,5415.267672
365,5415.267672
366,5415.267672
367,5415.267672
368,5415.267672
369,5415.267672
370,5415.267672
371,5415.267672
372,5415.267672
373,5415.267672
374,5415.267672
375,5415.267672
376,5415.267672
377,5415.267672
378,5415.267672
379,5415.267672
380,5415.267672
381,5415.267672
382,5415.267672
383,5415.267672
384,5415.267672
385,5415.267672
386,5415.267672
387,5415.267672
388,5415.267672
389,5415.267672
390,5415.267672
391,5415.267672
392,5415.267672
393,5415.267672
394,5415.267672
395,5415.267672
396,5415.267672
397,5415.267672
398,5415.267672
399,5415.267672
400,5415.267672
401,5415.267672
402,5415.267672
403,5415.267672
404,5415.267672
405,5415.267672
406,5415.267672
407,5415.267672
408,5415.267672
409,5415.267672
410,5415.267672
411,5415.267672
412,5415.267672
413,5415.267672
414,5415.267672
415,5415.267672
416,5415.267672
417,5415.267672
418,5415.267672
419,5415.267672
420,5415.267672
421,5415.267672
422,5328.035707
423,5328.035707
424,5328.035707
425,5328.035707
426,5328.035707
427,5328.035707
428,5328.035707
429,5328.035707
430,5328.035707
431,5328.035707
432,5328.035707
433,5328.035707
434,5328.035707
435,5328.035707
436,5328.035707
437,5328.035707
438,5328.035707
439,5328.035707
440,5328.035707
441,5328.035707
442,5328.035707
443,5328.035707
444,5328.035707
445,5328.035707
446,5328.035707
447,5328.035707
448,5328.035707
449,5328.035707
450,5328.035707
451,5328.035707
452,5328.035707
453,5328.035707
454,5328.035707
455,5328.035707
456,5328.035707
457,5328.035707
458,5328.035707
459,5328.035707
460,5328.035707
461,5328.035707
462,5328.035707
